"Make up exam for CS429","Mon,  20 Oct 2014 (All day)","",""
"Interviews","Mon,  20 Oct 2014 8:00 CDT","","Room: GDC 3.416"
"Interviews","Mon,  20 Oct 2014 8:00 CDT","","Room: GDC 4.416"
"Interviews","Mon,  20 Oct 2014 8:00 CDT","","Room: GDC 2.902"
"Interviews","Mon,  20 Oct 2014 8:00 CDT","","Room: GDC 4.314"
"Interviews","Mon,  20 Oct 2014 8:00 CDT","",""
"Make up exam for CS429","Mon,  20 Oct 2014 8:00 CDT","",""
"Registrar - ANALYTICAL METHODS I","Mon,  20 Oct 2014 8:30 CDT","","Room: GDC 4.302"
"OEA Weekly Meeting","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 2.712"
"FoCS Breakfast Giveaway","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 2.100"
"Registrar - COMP ORGANIZATN & ARCH-C S","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 2.216"
"Registrar - ESL Fall 2014 ","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 2.402"
"Registrar - ESL Fall 2014 ","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 2.410"
"Registrar - ESL Classes ","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 2.502"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 2.210"
"Registrar - THE FINITE ELEMENT METHOD","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 1.304"
"Registrar - NANOMETER SCALE IC DESIGN","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 4.304"
"Registrar - DECISION PATHWAYS","Mon,  20 Oct 2014 9:00 CDT","","Room: GDC 5.304"
"Rise and Dine with Bloomberg","Mon,  20 Oct 2014 9:30 CDT","GDC Atrium",""
"Registrar - PROBABILISTIC GRAPHICAL MODEL","Mon,  20 Oct 2014 9:30 CDT","","Room: GDC 1.406"
"Academics - Staff Meeting","Mon,  20 Oct 2014 10:00 CDT","","Room: GDC 2.712"
"C S 386W (Qiu)","Mon,  20 Oct 2014 10:00 CDT","","Room: GDC 2.506"
"Registrar - DIFFEREN CALCULUS FOR SCIENCE","Mon,  20 Oct 2014 10:00 CDT","","Room: GDC 4.302"
"Registrar - INTRODUCTION TO NUMBER THEORY","Mon,  20 Oct 2014 10:00 CDT","","Room: GDC 2.210"
"Registrar - FOUNDATIONS OF LOGICAL THOUGHT","Mon,  20 Oct 2014 10:00 CDT","","Room: GDC 1.304"
"Registrar - ELEMS OF COMPUTING IN SOCIETY","Mon,  20 Oct 2014 10:00 CDT","","Room: GDC 5.302"
"Registrar - GENETICS","Mon,  20 Oct 2014 10:00 CDT","","Room: GDC 6.202"
"Bruce class projects meeting","Mon,  20 Oct 2014 10:00 CDT","",""
"Registrar - ELEMS OF COMPUTERS/PROGRAMMING","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 2.216"
"Registrar - GENETICS","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 2.402"
"Registrar - FIRST-YR INTEREST GROUP-CNS","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 2.410"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 4.302"
"Registrar - COMPUTING CRYPTOGRAPHIC DATA","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 2.210"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 1.406"
"Registrar - PROGRAMMING LANGUAGES","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 1.304"
"Graphics Seminar","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 5.516"
"Registrar - PRACTICAL LINEAR ALGEBRA I","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 4.304"
"Registrar - DATA STRUCTURES: HONORS","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 5.302"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 6.202"
"FEC meeting","Mon,  20 Oct 2014 11:00 CDT","","Room: GDC 3.816"
"Wedding shower for Tiffany Grady","Mon,  20 Oct 2014 11:30 CDT","","Room: GDC 6.302"
"Witchel research group meeting","Mon,  20 Oct 2014 12:00 CDT","","Room: GDC 6.516"
"Registrar - TOPICS IN NAT SCI HON SEMINAR","Mon,  20 Oct 2014 12:00 CDT","","Room: GDC 2.402"
"Registrar - ECO 329 Supplemental Instruction ","Mon,  20 Oct 2014 12:00 CDT","","Room: GDC 4.302"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Mon,  20 Oct 2014 12:00 CDT","","Room: GDC 1.406"
"Witchel Research Group Meeting","Mon,  20 Oct 2014 12:00 CDT","","Room: GDC 6.440"
"CS Ambassadors","Mon,  20 Oct 2014 12:00 CDT","","Room: GDC 2.712"
"Registrar - PROGRAMMING FOR PERFORMANCE","Mon,  20 Oct 2014 12:30 CDT","","Room: GDC 5.302"
"Registrar - GAME DEVEL CAPSTONE: 2-D GAMES","Mon,  20 Oct 2014 12:30 CDT","","Room: GDC 6.202"
"Registrar - ELEMS OF COMPUTERS/PROGRAMMING","Mon,  20 Oct 2014 13:00 CDT","","Room: GDC 2.216"
"Registrar - INTRODUCTORY BIOLOGY II","Mon,  20 Oct 2014 13:00 CDT","","Room: GDC 2.410"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  20 Oct 2014 13:00 CDT","","Room: GDC 4.302"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  20 Oct 2014 13:00 CDT","","Room: GDC 2.210"
"Registrar - TOPICS IN CALCULUS","Mon,  20 Oct 2014 13:00 CDT","","Room: GDC 1.406"
"Registrar - COMPUTER PROGRAMMING: C++","Mon,  20 Oct 2014 13:00 CDT","","Room: GDC 1.304"
"Meeting","Mon,  20 Oct 2014 13:45 CDT","","Room: GDC 5.440"
"C S 395T (Dillig, T.)","Mon,  20 Oct 2014 14:00 CDT","",""
"Chao's Group Meeting @ Monday","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 6.416"
"Registrar - COMP INTEL IN GAME DSGN II-FRI","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 2.410"
"Registrar - ESL Fall 2014 ","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 2.502"
"Registrar - COMPUTER PROGRAMMING: PYTHON","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 2.506"
"Registrar - THEORY OF COMPUTATION","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 4.302"
"Registrar - TOPICS IN CALCULUS","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 2.210"
"Registrar - INTRODUCTORY BIOLOGY II","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 1.406"
"Registrar - INTRO TO GAME DEVELOPMENT","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 1.304"
"Registrar - ALGORITHMS: TECHNIQUES & THRY","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 4.304"
"Registrar - ELEMENTS OF WEB PROGRAMMING","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 5.302"
"Registrar - ECOLOGY","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 6.202"
"Interviews","Mon,  20 Oct 2014 14:00 CDT","","Room: GDC 4.314"
"BEACON Class (CS for Biologists)","Mon,  20 Oct 2014 14:15 CDT","",""
"Tech Staff - code audit","Mon,  20 Oct 2014 14:30 CDT","","Room: GDC 2.104"
"CS 303E Discussion / Review","Mon,  20 Oct 2014 15:00 CDT","","Room: GDC 6.302"
"Dr. Cannata Office Hours","Mon,  20 Oct 2014 15:00 CDT","","Room: GDC 5.416"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  20 Oct 2014 15:00 CDT","","Room: GDC 2.216"
"Registrar - SUPPL INSTRUCTION FOR M 427K","Mon,  20 Oct 2014 15:00 CDT","","Room: GDC 2.402"
"Registrar - ECOLOGY, EVOLUTION, & SOCIETY","Mon,  20 Oct 2014 15:00 CDT","","Room: GDC 1.406"
"Registrar - ECOLOGY","Mon,  20 Oct 2014 15:00 CDT","","Room: GDC 5.304"
"Registrar -  AUTON INTELLGNT ROBTCS II-FRI","Mon,  20 Oct 2014 15:30 CDT","","Room: GDC 2.410"
"Registrar - COMPUTER NETWORKS","Mon,  20 Oct 2014 15:30 CDT","","Room: GDC 5.302"
"Registrar - AUTOMATED SOFTWARE DESIGN","Mon,  20 Oct 2014 15:30 CDT","","Room: GDC 6.202"
"ASP Seminar","Mon,  20 Oct 2014 15:30 CDT","","Room: GDC 3.816"
"Registrar - COMPUTER FLUENCY","Mon,  20 Oct 2014 16:00 CDT","","Room: GDC 2.216"
"Registrar - COMPUTER PROGRAMMING: PHP/SQL","Mon,  20 Oct 2014 16:00 CDT","","Room: GDC 2.506"
"Registrar - CELLULAR & MOLECULAR NUTRITION","Mon,  20 Oct 2014 16:00 CDT","","Room: GDC 4.302"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  20 Oct 2014 16:00 CDT","","Room: GDC 2.210"
"Registrar - 16-POLITICAL PSYCHOLOGY","Mon,  20 Oct 2014 16:00 CDT","","Room: GDC 1.406"
"Registrar - DATA MANAGEMENT","Mon,  20 Oct 2014 16:00 CDT","","Room: GDC 1.304"
"Interviews","Mon,  20 Oct 2014 16:00 CDT","","Room: GDC 4.314"
"Registrar - CH301 TA Meetings ","Mon,  20 Oct 2014 16:00 CDT","","Room: GDC 5.304"
"Registrar - Learn To Be ","Mon,  20 Oct 2014 16:30 CDT","","Room: GDC 2.502"
"""COMPUTER PROGRAMMING: PHP/SQL"" Office Hours","Mon,  20 Oct 2014 17:00 CDT","","Room: GDC 2.506"
"CS312 Scott - Community Meeting","Mon,  20 Oct 2014 17:00 CDT","","Room: GDC 6.516"
"Registrar - UGTA Meetings SDS 302 ","Mon,  20 Oct 2014 17:00 CDT","","Room: GDC 2.402"
"Registrar - CELLULAR & MOLECULAR NUTRITION","Mon,  20 Oct 2014 17:00 CDT","","Room: GDC 4.302"
"Registrar - CH 302 Office Hours ","Mon,  20 Oct 2014 17:00 CDT","","Room: GDC 2.210"
"Registrar - SI Discussion Section ","Mon,  20 Oct 2014 17:00 CDT","","Room: GDC 6.202"
"cs347 Extension","Mon,  20 Oct 2014 17:30 CDT","","Room: GDC 1.304"
"Registrar - Lower-Division Study Sessions ","Mon,  20 Oct 2014 17:30 CDT","","Room: GDC 1.406"
"UTCS Study Hall (ACM)","Mon,  20 Oct 2014 18:00 CDT","","Room: GDC 2.410"
"UTCS Study Hall (ACM)","Mon,  20 Oct 2014 18:00 CDT","","Room: GDC 2.402"
"CS 341 Automata Theory Problem Session","Mon,  20 Oct 2014 18:00 CDT","","Room: GDC 6.302"
"ISSS General Meeting","Mon,  20 Oct 2014 18:00 CDT","","Room: GDC 5.302"
"M 340L-CS Tutoring Session","Mon,  20 Oct 2014 18:00 CDT","","Room: GDC 6.202"
"Registrar - CS Development Workshops ","Mon,  20 Oct 2014 19:00 CDT","","Room: GDC 2.210"
